# pslog_perf_artifact: pure-c-baseline
# host: fingerprint-md5 6dc4cd203de47f25bc42c664961685e3
# measured_commit: bb59bec0259dfd673f226f8649e617f66f1ae6a7
# worktree: modified
# date: 2026-09-15T07:08:04Z
# compiler: x86_64-linux-gcc.br_real (toolchains.bootlin.com 2026.08-1) 15.3.0
# cmake_preset: host; liblogger off; quill off
# run_count: 1; summary: raw benchmark rows
# C: iterations=200000; requested_cpu=0; taskset=available
# Lua/Go: benchtime=200ms; count=1; pinning=none
console_api              iterations=200000 elapsed=0.052904 sec ns/op=264.52 bytes/op=72.94
console_prepared         iterations=200000 elapsed=0.039783 sec ns/op=198.91 bytes/op=72.94
consolecolor_api         iterations=200000 elapsed=0.055233 sec ns/op=276.16 bytes/op=170.94
consolecolor_prepared    iterations=200000 elapsed=0.042265 sec ns/op=211.33 bytes/op=170.94
json_api                 iterations=200000 elapsed=0.054622 sec ns/op=273.11 bytes/op=127.94
json_prepared            iterations=200000 elapsed=0.039837 sec ns/op=199.19 bytes/op=127.94
jsoncolor_api            iterations=200000 elapsed=0.071620 sec ns/op=358.10 bytes/op=232.94
jsoncolor_prepared       iterations=200000 elapsed=0.060292 sec ns/op=301.46 bytes/op=232.94
console_prod_log_fields  iterations=200000 elapsed=0.069310 sec ns/op=346.55 bytes/op=288.51
console_prod_with_log_fields iterations=200000 elapsed=0.061051 sec ns/op=305.26 bytes/op=288.51
console_prod_log_fields_build iterations=200000 elapsed=0.138106 sec ns/op=690.53 bytes/op=288.51
console_prod_with_log_fields_build iterations=200000 elapsed=0.115247 sec ns/op=576.23 bytes/op=288.51
console_prod_level_fields_build iterations=200000 elapsed=0.139274 sec ns/op=696.37 bytes/op=288.51
console_prod_with_level_fields_build iterations=200000 elapsed=0.119343 sec ns/op=596.72 bytes/op=288.51
console_prod_levelf_kvfmt iterations=200000 elapsed=0.127844 sec ns/op=639.22 bytes/op=288.51
console_prod_with_levelf_kvfmt iterations=200000 elapsed=0.126075 sec ns/op=630.38 bytes/op=288.51
consolecolor_prod_log_fields iterations=200000 elapsed=0.071650 sec ns/op=358.25 bytes/op=508.03
consolecolor_prod_with_log_fields iterations=200000 elapsed=0.062752 sec ns/op=313.76 bytes/op=508.03
consolecolor_prod_log_fields_build iterations=200000 elapsed=0.139067 sec ns/op=695.33 bytes/op=508.03
consolecolor_prod_with_log_fields_build iterations=200000 elapsed=0.119834 sec ns/op=599.17 bytes/op=508.03
consolecolor_prod_level_fields_build iterations=200000 elapsed=0.139996 sec ns/op=699.98 bytes/op=508.03
consolecolor_prod_with_level_fields_build iterations=200000 elapsed=0.117846 sec ns/op=589.23 bytes/op=508.03
consolecolor_prod_levelf_kvfmt iterations=200000 elapsed=0.130056 sec ns/op=650.28 bytes/op=508.03
consolecolor_prod_with_levelf_kvfmt iterations=200000 elapsed=0.128351 sec ns/op=641.75 bytes/op=508.03
json_prod_log_fields     iterations=200000 elapsed=0.073415 sec ns/op=367.08 bytes/op=372.42
json_prod_with_log_fields iterations=200000 elapsed=0.066770 sec ns/op=333.85 bytes/op=372.42
json_prod_log_fields_build iterations=200000 elapsed=0.145758 sec ns/op=728.79 bytes/op=372.42
json_prod_with_log_fields_build iterations=200000 elapsed=0.123803 sec ns/op=619.01 bytes/op=372.42
json_prod_level_fields_build iterations=200000 elapsed=0.145508 sec ns/op=727.54 bytes/op=372.42
json_prod_with_level_fields_build iterations=200000 elapsed=0.123358 sec ns/op=616.79 bytes/op=372.42
json_prod_levelf_kvfmt   iterations=200000 elapsed=0.152216 sec ns/op=761.08 bytes/op=372.42
json_prod_with_levelf_kvfmt iterations=200000 elapsed=0.139836 sec ns/op=699.18 bytes/op=372.42
jsoncolor_prod_log_fields iterations=200000 elapsed=0.107506 sec ns/op=537.53 bytes/op=575.12
jsoncolor_prod_with_log_fields iterations=200000 elapsed=0.096638 sec ns/op=483.19 bytes/op=575.12
jsoncolor_prod_log_fields_build iterations=200000 elapsed=0.176229 sec ns/op=881.14 bytes/op=575.12
jsoncolor_prod_with_log_fields_build iterations=200000 elapsed=0.160536 sec ns/op=802.68 bytes/op=575.12
jsoncolor_prod_level_fields_build iterations=200000 elapsed=0.182945 sec ns/op=914.73 bytes/op=575.12
jsoncolor_prod_with_level_fields_build iterations=200000 elapsed=0.149502 sec ns/op=747.51 bytes/op=575.12
jsoncolor_prod_levelf_kvfmt iterations=200000 elapsed=0.176519 sec ns/op=882.60 bytes/op=575.12
jsoncolor_prod_with_levelf_kvfmt iterations=200000 elapsed=0.183624 sec ns/op=918.12 bytes/op=575.12
